GRB Name	Obs_ID	z	1+z	T90_raw(s)	T90_raw_error	T50_raw(s)	T50_raw_error	E1_obsframe(KeV)	E2_obsframe(KeV)	T90_(s)	T90_error	T50_(s)	T50_error
150423A	638808	1.394	2.394	0.224	0.035	0.128	0.035	58.48	146.20	0.08	0.022	0.048	0.016
100615A	424733	1.398	2.398	39.088	0.85	23.664	1.463	58.38	145.95	39.168	3.493	26.896	1.133
100901A	433065	1.408	2.408	440.672	24.921	195.76	21.302	58.14	145.35	17.664	2.836	10.976	3.251
180205A	808625	1.409	2.409	378.496	376.299	1.808	0.515	40.15	145.29	6.8	0.532	4.896	0.455
50318	111529	1.440	2.44	29.056	0.472	15.344	10.616	57.38	143.44	13.776	1.018	7.216	0.588
180314A	814129	1.445	2.445	24.368	1.367	9.968	0.4305	57.26	143.15	20.768	0.958	9.328	0.801
141221A	622006	1.452	2.452	36.928	4.064	14.688	3.075	57.10	142.74	36.432	12.491	6.496	4.708
200205B	954520	1.465	2.465	116.56	2.732	53.056	2.838	56.8	141.99	114.304	5.166	40.016	13.073
60418	205851	1.490	2.49	80.992	47.933	25.408	0.736	56.22	140.56	33.296	3.425	18.704	2.479
70306	263361	1.497	2.497	259.408	108.945	25.232	11.025	56.07	140.17	128.496	19.726	18.48	64.651
181110A	871316	1.505	2.505	134.768	11.635	46.912	1.436	55.89	139.72	87.616	16.402	30.8	4.379
060502A	208169	1.510	2.51	23.712	8.501	10.752	0.723	55.78	139.44	16.464	2.016	7.536	0.949
150301B	633180	1.517	2.5169	13.04	1.465	4.64	0.443	55.62	139.06	15.424	7.267	4.592	1.098
50802	148646	1.520	2.52	18.928	3.494	8.16	1.765	55.56	138.89	11.536	1.981	6.208	1.216
60719	220020	1.532	2.532	66.928	11.558	34.048	11.018	55.29	138.23	53.152	2.271	38.992	32.996
90102	338895	1.547	2.547	27.44	2.272	11.36	1.569	54.97	137.42	11.968	1.247	7.696	0.848
161117A	722604	1.549	2.549	126.672	1.23	74.816	0.523	54.92	137.31	121.104	1.126	81.056	7.988
100728A	430151	1.567	2.567	211.312	11.744	72.976	1.227	54.54	136.35	168.112	2.547	63.872	1.188
090418A	349510	1.608	2.608	56.192	4.1	31.84	2.843	53.68	134.20	53.328	3.995	32.816	4.264
110503A	452685	1.613	2.613	9.824	3.091	2.912	0.252	53.58	133.95	7.232	1.339	2.032	0.349
80605	313299	1.640	2.6398	19.184	0.924	7.12	0.113	53.03	132.59	16.4	0.972	6.704	0.147
80928	326115	1.692	2.692	251.152	61.419	47.888	67.67	52.01	130.01	22.256	3.759	10.384	1.159
91020	373458	1.710	2.71	35.84	3.3943	8.672	1.006	51.66	129.15	29.584	7.922	7.104	1.129
160410A	682269	1.720	2.72	12.768	346.68	1.968	14.011	51.47	128.68	355.136	38.018	264.624	43.995
191011A	883832	1.722	2.722	372.32	13.76	55.136	1.552	51.43	128.58	193.312	13.36	17.648	0.426
100906A	433509	1.727	2.727	114.304	1.643	54.576	8.698	51.34	128.35	103.184	2.231	11.936	1.898
120119A	512035	1.728	2.728	76.144	12.945	18.32	0.723	51.32	128.30	252.816	41.751	24.752	1.874
90113	339852	1.749	2.7493	9.04	0.915	5.872	0.622	50.92	127.31	8.208	0.452	2.496	2.774
150314A	634795	1.758	2.758	14.79	2.681	5.344	0.151	50.76	126.90	10.8	0.349	4.336	0.187
110422A	451901	1.770	2.77	27.552	1.395	11.344	0.262	50.54	126.35	23.792	0.906	9.904	0.24
121027A	536831	1.773	2.773	68.432	9.656	32.192	7.014	50.49	126.22	61.184	9.355	17.424	14.39
120326A	518626	1.798	2.798	72.736	8.768	5.424	0.522	50.04	125.09	12.352	3.417	3.728	0.508
110801A	458521	1.858	2.858	390.512	9.271	331.728	7.321	48.99	122.46	527.44	45.396	218.144	69.01
190106A	945521	1.860	2.86	78.4	2.167	62.112	0.627	48.95	122.38	13.168	1.646	4.864	0.452
171020A	780845	1.870	2.87	26.496	2.718	14.704	2.894	48.78	121.95	16.512	2.588	8.08	1.924
60908	228581	1.884	2.8836	18.928	1.155	7.312	0.643	48.55	121.38	17.968	1.056	6.64	0.688
50315	111063	1.949	2.949	97.248	14.637	24.976	1.471	47.47	118.68	41.744	10.809	18	3.065
080319C	306778	1.950	2.95	32.88	9.962	7.712	0.492	47.46	118.64	11.424	0.985	6.752	0.374
